,BAA10YM,BAA_YEILD_10Y_M_PCT_CHG,BAA_YEILD_10Y_Q_PCT_CHG,BAA_YEILD_10Y_A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,BAA_YEILD_10Y_3A_PCT_CHG
1999-01-01,2.57,-0.00387596899224818,0.0239043824701195,0.5297619047619047,0.6907894736842104,0.41208791208791196
1999-02-01,2.39,-0.07003891050583644,-0.0736434108527132,0.43113772455089827,0.6040268456375839,0.3579545454545454
1999-03-01,2.3,-0.03765690376569053,-0.10505836575875482,0.36094674556213,0.586206896551724,0.36904761904761907
1999-04-01,2.3,0.0,-0.03765690376569053,0.3939393939393938,0.5436241610738255,0.47435897435897423
1999-05-01,2.18,-0.05217391304347807,-0.05217391304347807,0.33742331288343586,0.4248366013071896,0.46308724832214776
1999-06-01,2.12,-0.02752293577981657,-0.07826086956521727,0.2544378698224854,0.3856209150326797,0.43243243243243246
1999-07-01,2.16,0.018867924528301883,-0.00917431192660556,0.19999999999999996,0.42105263157894735,0.4025974025974026
1999-08-01,2.21,0.02314814814814814,0.04245283018867907,-0.030701754385964897,0.4832214765100671,0.45394736842105265
1999-09-01,2.28,0.03167420814479627,0.05555555555555536,-0.13962264150943404,0.48051948051948035,0.48051948051948035
1999-10-01,2.27,-0.004385964912280604,0.02714932126696845,-0.095617529880478,0.474025974025974,0.4276729559748427
1999-11-01,2.12,-0.06607929515418498,-0.07017543859649111,-0.17829457364341084,0.4039735099337749,0.33333333333333326
1999-12-01,1.91,-0.09905660377358494,-0.15859030837004406,-0.25680933852140075,0.15757575757575748,0.26490066225165565
2000-01-01,1.67,-0.12565445026178013,-0.21226415094339635,-0.30125523012552313,-0.005952380952380931,0.09868421052631571
2000-02-01,1.77,0.05988023952095811,-0.0732984293193717,-0.23043478260869554,0.05988023952095811,0.18791946308724827
2000-03-01,2.11,0.192090395480226,0.26347305389221565,-0.08260869565217388,0.24852071005917153,0.45517241379310347
2000-04-01,2.41,0.14218009478673,0.3615819209039548,0.10550458715596323,0.4606060606060607,0.6174496644295302
2000-05-01,2.46,0.020746887966804906,0.16587677725118488,0.1603773584905659,0.5092024539877302,0.6078431372549018
2000-06-01,2.38,-0.0325203252032521,-0.012448132780083054,0.10185185185185164,0.40828402366863914,0.5555555555555554
2000-07-01,2.3,-0.03361344537815125,-0.06504065040650409,0.040723981900452344,0.2777777777777777,0.513157894736842
2000-08-01,2.43,0.0565217391304349,0.021008403361344685,0.06578947368421062,0.06578947368421062,0.6308724832214767
2000-09-01,2.55,0.04938271604938249,0.10869565217391308,0.12334801762114522,-0.037735849056603765,0.6558441558441557
2000-10-01,2.6,0.019607843137255054,0.06995884773662553,0.2264150943396226,0.03585657370517947,0.6883116883116884
2000-11-01,2.56,-0.015384615384615441,0.0039215686274509665,0.34031413612565453,-0.007751937984496138,0.695364238410596
2000-12-01,2.78,0.0859375,0.0692307692307692,0.6646706586826348,0.08171206225680927,0.6848484848484848
2001-01-01,2.77,-0.003597122302158251,0.08203125,0.5649717514124293,0.15899581589958145,0.648809523809524
2001-02-01,2.77,0.0,-0.003597122302158251,0.3127962085308058,0.20434782608695667,0.658682634730539
