,HSN1F_M,HSN1F_M_PCT_CHG,HSN1F_Q_PCT_CHG,HSN1F_A_PCT_CHG,HSN1F_2A_PCT_CHG,HSN1F_3A_PCT_CHG
1963-10-01,567.0,-0.03898305084745768,-0.0052631578947368585,-0.040609137055837574,-0.1302876480541455,-0.08629441624365486
1963-11-01,579.0,0.021164021164021163,-0.01864406779661021,-0.02030456852791873,-0.1302876480541455,-0.08629441624365486
1963-12-01,514.0,-0.11226252158894645,-0.09347442680776019,-0.1302876480541455,-0.1302876480541455,-0.08629441624365486
1964-01-01,549.0,0.06809338521400776,-0.051813471502590636,0.1831896551724137,-0.07106598984771573,-0.08629441624365486
1964-02-01,609.0,0.1092896174863387,0.18482490272373542,0.32104121475054237,0.030456852791878264,-0.08629441624365486
1964-03-01,562.0,-0.07717569786535305,0.023679417122040025,-0.07107438016528922,-0.04906937394247035,-0.08629441624365486
1964-04-01,559.0,-0.005338078291814985,-0.08210180623973728,-0.0460750853242321,-0.05414551607445006,-0.08629441624365486
1964-05-01,523.0,-0.06440071556350624,-0.06939501779359436,-0.005703422053231932,-0.11505922165820648,-0.08629441624365486
1964-06-01,580.0,0.10898661567877621,0.0375670840787119,-0.1278195488721805,-0.0186125211505922,-0.08629441624365486
1964-07-01,575.0,-0.008620689655172376,0.0994263862332696,0.00877192982456143,-0.027072758037225086,-0.08629441624365486
1964-08-01,582.0,0.012173913043478368,0.0034482758620688614,-0.013559322033898313,-0.015228426395939132,-0.08629441624365486
1964-09-01,590.0,0.013745704467353903,0.026086956521739202,0.040564373897707284,-0.0016920473773265332,-0.08629441624365486
1964-10-01,583.0,-0.011864406779661052,0.0017182130584192379,0.006908462867012188,-0.013536379018612488,-0.08629441624365486
1964-11-01,548.0,-0.06003430531732423,-0.07118644067796609,0.06614785992217898,-0.07275803722504226,-0.08629441624365486
1964-12-01,540.0,-0.014598540145985384,-0.07375643224699824,-0.016393442622950838,-0.08629441624365486,-0.08629441624365486
1965-01-01,533.0,-0.012962962962962954,-0.027372262773722622,-0.12479474548440062,0.1487068965517242,-0.09813874788494081
1965-02-01,559.0,0.04878048780487809,0.03518518518518521,-0.005338078291814985,0.21258134490238612,-0.05414551607445006
1965-03-01,556.0,-0.00536672629695889,0.04315196998123838,-0.00536672629695889,-0.08099173553719008,-0.05922165820642977
1965-04-01,555.0,-0.0017985611510791255,-0.007155635062611854,0.06118546845124273,-0.05290102389078499,-0.060913705583756306
1965-05-01,544.0,-0.01981981981981984,-0.021582733812949617,-0.06206896551724139,0.034220532319391594,-0.07952622673434862
1965-06-01,614.0,0.12867647058823528,0.10630630630630633,0.0678260869565217,-0.07669172932330826,0.03891708967851093
1965-07-01,554.0,-0.09771986970684043,0.018382352941176405,-0.04810996563573888,-0.028070175438596467,-0.06260575296108295
1965-08-01,615.0,0.11010830324909748,0.0016286644951140072,0.04237288135593231,0.04237288135593231,0.04060913705583746
1965-09-01,587.0,-0.04552845528455285,0.05956678700361007,0.006861063464836947,0.03527336860670194,-0.006768189509306244
1965-10-01,555.0,-0.054514480408858645,-0.09756097560975607,0.012773722627737127,-0.041450777202072575,-0.060913705583756306
1965-11-01,616.0,0.1099099099099099,0.049403747870528036,0.14074074074074083,0.19844357976653693,0.04230118443316422
1965-12-01,609.0,-0.011363636363636354,0.09729729729729719,0.14258911819887432,0.1092896174863387,0.030456852791878264
1966-01-01,599.0,-0.016420361247947435,-0.02759740259740262,0.07155635062611809,-0.016420361247947435,0.29094827586206895
1966-02-01,541.0,-0.09682804674457424,-0.11165845648604267,-0.026978417266187105,-0.03736654804270467,0.17353579175704992
1966-03-01,557.0,0.02957486136783727,-0.07011686143572626,0.003603603603603567,-0.003577817531305927,-0.07933884297520666
1966-04-01,545.0,-0.021543985637342944,0.007393715341959428,0.0018382352941177516,0.042065009560229516,-0.06996587030716728
1966-05-01,499.0,-0.08440366972477065,-0.10412926391382404,-0.18729641693811072,-0.1396551724137931,-0.0513307984790875
1966-06-01,434.0,-0.1302605210420842,-0.20366972477064216,-0.21660649819494582,-0.24521739130434783,-0.34736842105263155
1966-07-01,435.0,0.0023041474654377225,-0.12825651302605212,-0.29268292682926833,-0.25257731958762886,-0.23684210526315785
