,GDP_M,RGDP_M_PCT_CHG,RGDP_Q_PCT_CHG,RGDP_A_PCT_CHG,RGDP_2A_PCT_CHG,RGDP_3A_PCT_CHG
1969-04-01,1.2,-0.5909090909090909,-0.7428571428571429,-0.7869822485207101,-0.1428571428571428,-0.4193548387096774
1969-05-01,1.7000000000000002,0.41666666666666696,-0.4204545454545454,-0.6106870229007634,-0.34615384615384615,-0.3780487804878049
1969-06-01,2.2,0.2941176470588236,0.8333333333333335,-0.29032258064516125,-0.42105263157894735,-0.3529411764705882
1969-07-01,2.7,0.2272727272727273,0.588235294117647,0.03846153846153855,-0.23584905660377353,-0.19801980198019797
1969-08-01,1.166666666666667,-0.5679012345679011,-0.4696969696969696,-0.4444444444444443,-0.6428571428571428,-0.6499999999999999
1969-09-01,-0.36666666666666625,-1.3142857142857138,-1.1358024691358022,-1.2291666666666665,-1.122222222222222,-1.111111111111111
1969-10-01,-1.9,-0.7711779448621552,-2.628571428571428,-1.59375,-1.3958333333333333,-1.5588235294117647
1969-11-01,-1.4666666666666666,-0.22807017543859653,3.0000000000000044,-1.3055555555555554,-1.2222222222222223,-1.419047619047619
1969-12-01,-1.0333333333333332,-0.2954545454545455,-0.45614035087719307,-1.1614583333333333,-1.123015873015873,-1.287037037037037
1970-01-01,-0.6,-0.4193548387096774,-0.5909090909090908,-1.1285714285714286,-1.0759493670886076,-1.2432432432432432
1970-02-01,-0.2,-0.6666666666666666,-0.8064516129032258,-1.0681818181818181,-1.027027027027027,-1.15
1970-03-01,0.19999999999999996,-1.9999999999999998,-1.3333333333333333,-0.8333333333333334,-0.9710144927536232,-2.220446049250313e-16
1970-04-01,0.6,-0.13888888888888862,0.2592592592592595,-0.6470588235294118,-0.893491124260355,-0.5714285714285714
1970-05-01,1.6333333333333333,1.7222222222222223,1.8518518518518523,-0.2575757575757577,-0.6259541984732825,-0.3717948717948718
1970-06-01,2.666666666666667,0.63265306122449,3.4444444444444455,-0.012345679012345623,-0.13978494623655902,-0.29824561403508765
1970-07-01,3.7,0.38749999999999996,1.2653061224489797,2.171428571428571,0.42307692307692313,0.04716981132075482
1970-08-01,1.0666666666666669,-0.7117117117117117,-0.6,-3.9090909090909127,-0.492063492063492,-0.6734693877551019
1970-09-01,-1.5666666666666664,-2.4687499999999996,-1.4234234234234233,-0.17543859649122817,-1.9791666666666665,-1.5222222222222221
1970-10-01,-4.2,1.6808510638297878,-1.520222350009584,1.8636363636363638,-2.3125,-1.875
1970-11-01,0.9666666666666668,-1.2301587301587302,-1.6170212765957448,-1.935483870967742,-0.7986111111111112,-0.8535353535353535
1970-12-01,6.133333333333334,-0.19388371290545203,-2.4603174603174605,-1.4789993416721527,-0.04166666666666663,-0.26984126984126977
1971-01-01,11.3,0.8423913043478262,-1.0562456866804695,-1.0225148123765635,1.4214285714285713,0.4303797468354431
1971-02-01,8.266666666666667,-0.26843657817109146,0.34782608695652173,-0.5660302830809743,1.8181818181818183,0.11711711711711725
1971-03-01,5.233333333333333,-0.36693548387096775,-0.5368731563421829,-0.109545753785385,3.3611111111111116,-0.24154589371980684
1971-04-01,2.2,-0.5796178343949044,-0.7338709677419355,0.34693877551020424,0.2941176470588236,-0.6094674556213018
1971-05-01,2.566666666666667,0.16666666666666674,-0.5095541401273884,-0.03749999999999998,0.16666666666666674,-0.4122137404580153
1971-06-01,2.933333333333333,0.1428571428571428,0.33333333333333304,-0.2072072072072073,0.08641975308641969,-0.05376344086021512
1971-07-01,3.3,0.125,0.2857142857142856,2.093749999999999,1.8285714285714278,0.26923076923076916
1971-08-01,2.5,-0.24242424242424243,-0.1477272727272727,-2.5957446808510642,-0.03308270676691771,0.19047619047619047
1971-09-01,1.7,-0.32000000000000006,-0.48484848484848486,-1.4047619047619047,-1.8947368421052633,0.0625
1971-10-01,0.9,-0.47058823529411764,-0.64,-0.06896551724137945,-1.6136363636363638,-0.71875
1971-11-01,3.133333333333333,0.12108886107634553,0.8431372549019605,-0.48913043478260876,-4.032258064516129,-0.34722222222222243
1971-12-01,5.366666666666666,0.7127659574468086,1.1343345848977888,-0.5250737463126844,-2.2747860434496374,-0.16145833333333348
1972-01-01,7.6,0.4161490683229814,1.4255319148936172,-0.08064516129032273,-0.5173140223831463,0.6285714285714283
1972-02-01,8.2,0.07894736842105265,0.5279503105590062,0.5668789808917196,1.2401579986833449,1.795454545454545
1972-03-01,8.8,0.07317073170731736,0.1578947368421053,3.0,2.9976300197498364,3.1624331550802136
1972-04-01,9.4,0.06818181818181812,0.14634146341463428,2.662337662337662,4.755102040816327,4.529411764705882
1972-05-01,7.533333333333333,-0.198581560283688,-0.14393939393939403,1.5681818181818183,1.8249999999999997,2.424242424242424
1972-06-01,5.666666666666666,-0.24778761061946908,-0.397163120567376,0.7171717171717171,0.5315315315315312,1.098765432098765
1972-07-01,3.8,-0.3294117647058823,-0.49557522123893805,0.52,2.562499999999999,2.2571428571428562
1972-08-01,4.833333333333333,0.27192982456140347,-0.1470588235294117,1.843137254901961,-4.085106382978724,-0.9152882205513793
1972-09-01,5.866666666666667,0.21379310344827607,0.5438596491228072,1.5226324572382146,-2.396825396825397,-4.087719298245615
1972-10-01,6.9,0.17613636363636354,0.4275862068965519,1.2021276595744683,6.137931034482758,-3.2617768912076115
1972-11-01,8.033333333333333,0.16425120772946844,0.36931818181818166,0.49689440993788825,0.3097826086956521,-2.4358344841696082
1972-12-01,9.166666666666668,0.14107883817427402,0.3285024154589373,0.2061403508771933,-0.1887905604719764,-1.6098920771316045
1973-01-01,10.3,0.12363636363636354,0.2821576763485478,0.25609756097561,0.24596774193548376,-0.7839496700936013
1973-02-01,8.333333333333334,-0.1909385113268608,-0.09090909090909094,-0.053030303030303094,0.5923566878980893,0.041992736944401976
1973-03-01,6.366666666666667,-0.236,-0.3818770226537217,-0.3226950354609929,1.893939393939394,0.8679351439824057
1973-04-01,4.4,-0.3089005235602095,-0.472,-0.415929203539823,0.7142857142857142,1.6938775510204085
1973-05-01,2.233333333333334,-0.4924242424242423,-0.6492146596858639,-0.6058823529411763,-0.23863636363636342,-0.16249999999999987
1973-06-01,0.06666666666666732,-0.970149253731343,-0.9848484848484848,-0.982456140350877,-0.9797979797979796,-0.9819819819819818
1973-07-01,-2.1,-0.9533285951196397,-1.9402985074626864,-1.4344827586206896,-1.84,-2.96875
1973-08-01,-0.1333333333333333,-0.9365079365079365,-2.99999999999998,-1.0227272727272727,-1.0784313725490196,-0.9148936170212766
1973-09-01,1.8333333333333335,0.06810966810966801,-1.873015873015873,-0.7342995169082125,1.0370370370370372,-1.4365079365079365
1973-10-01,3.8,1.0727272727272723,-1.0546897546897547,-0.5269709543568465,0.2127659574468086,2.93103448275862
1973-11-01,1.4,-0.631578947368421,-0.23636363636363644,-0.8472727272727273,-0.7391304347826086,-0.7717391304347827
1973-12-01,-1.0,-1.7142857142857144,-1.263157894736842,-1.0970873786407767,-1.131578947368421,-1.0884955752212389
1974-01-01,-3.4,-1.0728291316526612,-0.16491228070175445,-1.408,-1.4146341463414633,-1.411290322580645
1974-02-01,-1.9333333333333331,-0.43137254901960786,0.9333333333333331,-1.3036649214659686,-1.2196969696969697,-1.3694267515923566
1974-03-01,-0.46666666666666634,-0.7586206896551726,-0.8627450980392157,-1.106060606060606,-1.049645390070922,-1.212121212121212
1974-04-01,1.0,-3.1428571428571446,-1.5172413793103448,-0.5522388059701493,-0.8672566371681416,-0.6103896103896105
1974-05-01,-0.5666666666666667,-1.5666666666666667,0.21428571428571508,-0.26818289504856674,-1.1,-1.1931818181818181
1974-06-01,-2.1333333333333333,-0.41614583333333344,-3.1333333333333333,0.015873015873015817,-1.5614035087719298,-1.6464646464646466
1974-07-01,-3.7,0.734375,-1.3713541666666667,-1.3011544011544012,-1.7655172413793103,-2.48
1974-08-01,-2.966666666666667,-0.19819819819819817,0.390625,-2.618181818181818,-1.5056818181818181,-2.7450980392156863
1974-09-01,-2.2333333333333334,-0.2471910112359551,-0.39639639639639646,-1.587719298245614,-1.3236714975845412,-3.4814814814814814
1974-10-01,-1.5,-0.32835820895522394,-0.4943820224719101,-2.071428571428571,-1.1867219917012448,-1.4787234042553192
1974-11-01,-2.5999999999999996,0.7333333333333332,0.16417910447761175,1.5999999999999996,-1.2836363636363637,-1.484472049689441
1974-12-01,-3.6999999999999997,0.42307692307692313,1.4666666666666663,0.08823529411764697,-1.3592233009708736,-1.486842105263158
1975-01-01,-4.8,0.29729729729729737,0.8461538461538463,1.4827586206896552,-1.576,-1.5853658536585367
1975-02-01,-2.2333333333333334,-0.5347222222222222,-0.39639639639639634,3.785714285714289,-1.350785340314136,-1.253787878787879
1975-03-01,0.33333333333333304,-1.1492537313432836,-1.0694444444444444,-0.666666666666667,-0.9242424242424243,-0.9645390070921986
1975-04-01,2.9,-0.3389946817635958,-2.298507462686567,-1.8333333333333335,0.2985074626865669,-0.6150442477876106
1975-05-01,4.266666666666667,0.47126436781609193,-0.6779893635271916,-3.0,-1.6920161099265576,-0.24705882352941166
1975-06-01,5.633333333333333,0.3203125,0.9425287356321839,-2.5225225225225225,-3.6825396825396823,0.48245614035087714
1975-07-01,7.0,0.24260355029585812,0.640625,-3.359550561797753,-0.5685425685425689,0.4482758620689655
1975-08-01,6.5,-0.0714285714285714,0.15384615384615397,-3.9104477611940296,2.545454545454545,0.10795454545454541
1975-09-01,6.0,-0.07692307692307687,-0.1428571428571429,-5.0,0.5789473684210527,-0.13043478260869568
1975-10-01,5.5,-0.08333333333333337,-0.15384615384615385,-3.115384615384616,2.928571428571429,-0.3153526970954357
1975-11-01,6.766666666666667,0.23030303030303023,0.12777777777777777,-2.8288288288288292,-0.21708683473389367,-0.26181818181818195
