,LRUN_UEMP,UEMP_M_PCT_CHG,UEMP_Q_PCT_CHG,UEMP_A_PCT_CHG,UEMP_2A_PCT_CHG,UEMP_3A_PCT_CHG
1997-02-01,5.483333321,-0.04531347874475067,-0.00281958086481493,-0.03192552360882395,-0.05006440764867115,-0.15909479371397717
1997-03-01,5.223071023,-0.04746424898213841,-0.09062695748950145,-0.04262097452052849,-0.07930356929192739,-0.15542736617168929
1997-04-01,4.962808725,-0.04982936223802514,-0.09492849796427683,-0.08066073480261815,-0.12437345451041781,-0.1887048377458116
1997-05-01,4.934094306,-0.005785920955476698,-0.05532697444233081,-0.07616364365432826,-0.12863511911215542,-0.18444851714566024
1997-06-01,4.9053798870000005,-0.005819592658592332,-0.011571841910953284,-0.07156890887958711,-0.13290466894436637,-0.18009667649529748
1997-07-01,4.876665468000001,-0.005853658567014808,-0.011639185317184664,-0.060755956420566415,-0.11807932325581894,-0.1533626771906217
1997-08-01,4.718454862666667,-0.03244237407127659,-0.038106126057374845,-0.0749433240655939,-0.12652544427339374,-0.1478635106012275
1997-09-01,4.560244257333333,-0.03353017246919687,-0.0648847481425534,-0.089648404043288,-0.13538042657421867,-0.14190317628124838
1997-10-01,4.402033652,-0.034693449825393574,-0.06706034493839363,-0.16216849178299586,-0.20588036879802962,-0.20444171218507234
1997-11-01,4.638835953333333,0.05379384167718615,0.017234097904649914,-0.15639701082393864,-0.20189285923057765,-0.19354841203365725
1997-12-01,4.875638254666667,0.05104778520205566,0.1075876833543723,-0.15111742224019076,-0.19825812840827195,-0.18345378875295526
1998-01-01,5.112440556,0.04856847226241201,0.10209557040411132,-0.06764001808526932,-0.12946184271423133,-0.12930614453818068
1998-02-01,4.873594516,-0.04671859503964082,-0.00041917356455045685,-0.06691015792453647,-0.13957401765990385,-0.15569588379640154
1998-03-01,4.634748476,-0.049008188764138705,-0.09343719007928153,-0.06610374632159532,-0.1504593830419093,-0.18301007964622518
1998-04-01,4.395902436,-0.05153376525971376,-0.09801637752827763,-0.10907612149722057,-0.18567772015198503,-0.22439709494467397
1998-05-01,4.446694664333333,0.011554448505811443,-0.04057476099090629,-0.09350656488037812,-0.16742203498543218,-0.21471027381465124
1998-06-01,4.497486892666667,0.01142246818535475,0.02310889701162311,-0.07775365725236849,-0.14876997108332846,-0.20500552944939
1998-07-01,4.548279121,0.011293468896185432,0.02284493637070928,-0.036065989104427154,-0.12400305065667228,-0.17746635959861812
1998-08-01,4.413456486,-0.029642559617220066,-0.018683858046074975,-0.032188576543303205,-0.134738488520172,-0.1829863683068369
1998-09-01,4.278633851,-0.030548082988395397,-0.05928511923444024,-0.028032452896841198,-0.14586567407905593,-0.1887735905488539
1998-10-01,4.1438112160000005,-0.0315106736624563,-0.061096165976790795,-0.10671313715623476,-0.2113155247483287,-0.25246327157780013
1998-11-01,4.32706236,0.04422285052283126,0.011318685049126476,-0.11251365790757817,-0.2130951001567093,-0.25553319780816286
1998-12-01,4.510313504,0.042350012260974124,0.08844570104566252,-0.11777683190728527,-0.21472300572837377,-0.2583315247595973
1999-01-01,4.693564648,0.040629358433173834,0.08470002452194825,-0.03693985361501917,-0.14403076135739445,-0.2007873587935861
1999-02-01,4.533387984333333,-0.034126868527297294,0.005115937132279091,-0.021869685526957783,-0.13204550266110116,-0.19963698314601497
1999-03-01,4.373211320666666,-0.035332661625303685,-0.06825373705459481,-0.005161878741326564,-0.11880316913348987,-0.1983986482361021
1999-04-01,4.213034657,-0.03662678336848546,-0.07066532325060726,-0.052546897183543106,-0.1461381976674364,-0.21955320052809746
1999-05-01,4.229151182,0.0038253957805027827,-0.032941499530533824,-0.059663478086884325,-0.13785450272508126,-0.20815384220305766
1999-06-01,4.245267707,0.0038108178938116577,0.0076507915610057875,-0.06662111227979761,-0.12947325690948963,-0.19650697395452033
1999-07-01,4.261384232,0.0037963506926608215,0.007621635787623315,-0.03445649786791627,-0.0968687089248429,-0.17925890476329898
1999-08-01,4.122310791,-0.032635743089218794,-0.028963289122440172,-0.03653574141743032,-0.09603289684079785,-0.19181782416461657
1999-09-01,3.98323735,-0.033736767568236514,-0.0652714861784377,-0.0387502850950342,-0.09513700600851294,-0.20483503206748754
1999-10-01,3.8441639089999997,-0.03491467587288022,-0.06747353513647303,-0.11159960518803347,-0.17130850332448277,-0.2683468822989261
1999-11-01,4.034362552333333,0.04947724598528125,0.012835088105742187,-0.10552502641879935,-0.17254678431651815,-0.2663244954539127
1999-12-01,4.224561195666666,0.04714465813770996,0.0989544919705625,-0.0999247879824523,-0.17367035383742735,-0.2644744728038162
2000-01-01,4.414759838999999,0.04502210632631587,0.0942893162754197,-0.026167657774559316,-0.09414707676103284,-0.1948766232954673
2000-02-01,4.248167023666666,-0.037735419685041904,0.005587758563945888,-0.028593243690071102,-0.08340937039737084,-0.18665340659552687
