DATE,SHARE_M
7/1/1987,2.774682983
8/1/1987,5.680263656
9/1/1987,-3.122400545
10/1/1987,-11.93931495
11/1/1987,-12.67693634
12/1/1987,-1.696477754
1/1/1988,4.198709956
2/1/1988,3.264672217
3/1/1988,3.268586485
4/1/1988,-0.947549855
5/1/1988,-2.335374188
6/1/1988,5.334170415
7/1/1988,-0.397161469
8/1/1988,-1.883349301
9/1/1988,1.488121398
10/1/1988,3.227094509
11/1/1988,-2.358956719
12/1/1988,1.752545221
1/1/1989,3.25347564
2/1/1989,2.913997071
3/1/1989,-0.28900452
4/1/1989,2.89526712
5/1/1989,3.501457643
6/1/1989,3.117570243
7/1/1989,2.402686007
8/1/1989,4.23060304
9/1/1989,0.029534618
10/1/1989,-0.260638099
11/1/1989,-2.097073127
12/1/1989,2.210455059
1/1/1990,-2.666967496
2/1/1990,-2.633176345
3/1/1990,2.036991626
4/1/1990,-0.349269319
5/1/1990,3.089129723
6/1/1990,2.785452877
7/1/1990,-0.012158883
8/1/1990,-7.733250562
9/1/1990,-4.532033711
10/1/1990,-2.98598628
11/1/1990,2.478198722
12/1/1990,4.269830527
1/1/1991,-0.903027679
2/1/1991,11.12778638
3/1/1991,2.941952477
4/1/1991,2.037318125
5/1/1991,-0.375322323
6/1/1991,0.184689076
7/1/1991,0.471417669
8/1/1991,2.419666595
9/1/1991,-0.366902054
10/1/1991,0.258761943
11/1/1991,0.070852031
12/1/1991,0.475243752
1/1/1992,7.035581288
2/1/1992,-0.532563315
3/1/1992,-1.274229983
4/1/1992,-0.294344245
5/1/1992,1.807404208
6/1/1992,-1.719422957
7/1/1992,1.554612798
8/1/1992,0.833720972
9/1/1992,0.025446871
10/1/1992,-1.372744759
11/1/1992,2.585355627
12/1/1992,2.849880583
1/1/1993,0.082278941
2/1/1993,1.560647815
3/1/1993,1.933676299
4/1/1993,-1.368853685
5/1/1993,0.52920972
6/1/1993,0.466678763
7/1/1993,0.27785229
8/1/1993,1.6457976
9/1/1993,1.163025878
10/1/1993,1.047032611
11/1/1993,-0.621433773
12/1/1993,0.702615245
1/1/1994,1.699023588
2/1/1994,-0.053611762
3/1/1994,-1.772165406
4/1/1994,-3.634582131
5/1/1994,0.642287431
6/1/1994,0.660112518
7/1/1994,-0.763154787
8/1/1994,2.724226661
9/1/1994,0.593889292
10/1/1994,-0.926630235
11/1/1994,-1.072881129
12/1/1994,-1.515801232
1/1/1995,1.97500733
2/1/1995,3.273285301
3/1/1995,1.88873839
4/1/1995,2.835421262
5/1/1995,2.708231697
6/1/1995,2.738040933
7/1/1995,2.989285512
8/1/1995,0.627208165
9/1/1995,3.452922013
10/1/1995,0.441005918
