,H_RATIO_M,H_RATIO_M_PCT_CHG,H_RATIO_Q_PCT_CHG,H_RATIO_A_PCT_CHG,H_RATIO_2A_PCT_CHG,H_RATIO_3A_PCT_CHG
1987-09-01,6.8,0.0,0.014925373134328401,0.04615384615384621,0.0625,0.1333333333333333
1987-10-01,6.8,0.0,0.0,0.11475409836065587,0.15254237288135575,-0.05555555555555558
1987-11-01,7.0,0.02941176470588247,0.02941176470588247,0.2727272727272727,0.2068965517241379,-0.041095890410958846
1987-12-01,7.6,0.08571428571428563,0.11764705882352944,0.2666666666666666,0.33333333333333326,0.13432835820895517
1988-01-01,7.5,-0.013157894736842035,0.0714285714285714,0.20967741935483875,0.25,0.15384615384615374
1988-02-01,6.6,-0.12,-0.13157894736842102,0.09999999999999987,0.404255319148936,0.031249999999999778
1988-03-01,6.6,0.0,-0.12,0.09999999999999987,0.404255319148936,-0.0434782608695653
1988-04-01,6.4,-0.030303030303030165,-0.030303030303030165,-0.04477611940298509,0.23076923076923084,0.0
1988-05-01,6.6,0.031249999999999778,0.0,-0.0434782608695653,0.1578947368421051,0.09999999999999987
1988-06-01,6.2,-0.06060606060606055,-0.03125,-0.07462686567164178,0.016393442622950838,0.1071428571428572
1988-07-01,6.6,0.06451612903225801,0.0,-0.02941176470588236,-0.05714285714285716,0.13793103448275867
1988-08-01,6.6,0.0,0.06451612903225801,-0.02941176470588236,0.13793103448275867,0.04761904761904767
1988-09-01,6.5,-0.015151515151515138,-0.015151515151515138,-0.044117647058823484,0.0,0.015625
1988-10-01,6.0,-0.07692307692307687,-0.09090909090909083,-0.1428571428571429,-0.016393442622950727,0.016949152542372836
1988-11-01,7.2,0.19999999999999996,0.10769230769230775,-0.05263157894736836,0.3090909090909091,0.24137931034482762
1988-12-01,6.8,-0.05555555555555558,0.1333333333333333,-0.09333333333333338,0.1333333333333333,0.1929824561403508
1989-01-01,6.2,-0.08823529411764697,-0.13888888888888884,-0.06060606060606055,0.0,0.03333333333333344
1989-02-01,7.5,0.20967741935483875,0.10294117647058831,0.13636363636363646,0.25,0.5957446808510638
1989-03-01,8.2,0.09333333333333327,0.32258064516129026,0.2812499999999998,0.3666666666666665,0.7446808510638296
1989-04-01,7.4,-0.09756097560975596,-0.013333333333333308,0.12121212121212133,0.10447761194029859,0.42307692307692313
1989-05-01,7.1,-0.04054054054054068,-0.13414634146341464,0.14516129032258052,0.02898550724637672,0.24561403508771917
1989-06-01,7.2,0.014084507042253502,-0.027027027027027084,0.09090909090909105,0.07462686567164178,0.18032786885245922
1989-07-01,6.1,-0.1527777777777779,-0.14084507042253525,-0.0757575757575758,-0.10294117647058831,-0.12857142857142867
1989-08-01,6.4,0.049180327868852514,-0.11111111111111105,-0.01538461538461533,-0.05882352941176461,0.10344827586206895
1989-09-01,7.1,0.10937499999999978,0.16393442622950816,0.18333333333333335,0.044117647058823595,0.0923076923076922
1989-10-01,6.9,-0.028169014084506894,0.078125,-0.04166666666666663,-0.014285714285714235,0.1311475409836067
1989-11-01,6.6,-0.0434782608695653,-0.07042253521126762,-0.02941176470588236,-0.13157894736842102,0.19999999999999996
1989-12-01,7.0,0.06060606060606055,0.014492753623188248,0.12903225806451601,-0.06666666666666665,0.16666666666666674
1990-01-01,7.0,0.0,0.06060606060606055,-0.06666666666666665,0.06060606060606055,0.12903225806451601
1990-02-01,7.6,0.08571428571428563,0.08571428571428563,-0.07317073170731703,0.1515151515151516,0.2666666666666666
1990-03-01,7.8,0.026315789473684292,0.11428571428571432,0.054054054054053946,0.21875,0.30000000000000004
1990-04-01,8.3,0.06410256410256432,0.09210526315789491,0.16901408450704247,0.2575757575757578,0.23880597014925375
1990-05-01,8.2,-0.012048192771084487,0.05128205128205132,0.13888888888888884,0.32258064516129026,0.188405797101449
1990-06-01,7.9,-0.03658536585365846,-0.048192771084337394,0.29508196721311486,0.19696969696969702,0.17910447761194037
1990-07-01,7.8,-0.012658227848101333,-0.04878048780487798,0.21875,0.18181818181818188,0.1470588235294117
1990-08-01,8.2,0.05128205128205132,0.037974683544303556,0.15492957746478875,0.2615384615384615,0.2058823529411764
1990-09-01,8.4,0.024390243902439046,0.0769230769230771,0.21739130434782616,0.40000000000000013,0.23529411764705888
1990-10-01,8.7,0.03571428571428559,0.060975609756097615,0.3181818181818181,0.20833333333333326,0.24285714285714266
1990-11-01,8.2,-0.05747126436781613,-0.023809523809523947,0.17142857142857126,0.2058823529411764,0.07894736842105265
1990-12-01,8.5,0.03658536585365857,-0.02298850574712641,0.2142857142857142,0.37096774193548376,0.1333333333333333
1991-01-01,9.4,0.10588235294117654,0.14634146341463428,0.23684210526315796,0.2533333333333334,0.4242424242424243
1991-02-01,7.9,-0.15957446808510634,-0.07058823529411762,0.012820512820512997,-0.03658536585365846,0.19696969696969702
1991-03-01,7.3,-0.07594936708860767,-0.22340425531914898,-0.12048192771084343,-0.013513513513513598,0.140625
1991-04-01,7.3,0.0,-0.07594936708860767,-0.1097560975609756,0.028169014084507005,0.10606060606060619
1991-05-01,7.0,-0.041095890410958846,-0.041095890410958846,-0.11392405063291144,-0.02777777777777779,0.12903225806451601
1991-06-01,7.0,0.0,-0.041095890410958846,-0.10256410256410253,0.14754098360655754,0.06060606060606055
1991-07-01,7.1,0.014285714285714235,0.014285714285714235,-0.13414634146341464,0.10937499999999978,0.07575757575757569
1991-08-01,6.8,-0.04225352112676051,-0.02857142857142858,-0.19047619047619058,-0.04225352112676051,0.04615384615384621
1991-09-01,7.4,0.08823529411764719,0.04225352112676073,-0.14942528735632177,0.07246376811594213,0.2333333333333334
1991-10-01,6.7,-0.09459459459459463,-0.014705882352941124,-0.18292682926829262,0.015151515151515138,-0.06944444444444442
1991-11-01,6.2,-0.07462686567164178,-0.16216216216216217,-0.2705882352941176,-0.11428571428571421,-0.08823529411764697
