,RPCE_M,RPCE_M_PCT_CHG,RPCE_Q_PCT_CHG,RPCE_A_PCT_CHG,RPCE_2A_PCT_CHG,RPCE_3A_PCT_CHG
1998-04-01,7.2,0.16693679092382507,0.4035087719298247,1.0396600566572238,0.9302949061662198,0.9834710743801653
1998-05-01,6.57,-0.08750000000000002,0.06482982171799034,0.24667931688804567,1.1400651465798046,0.790190735694823
1998-06-01,5.93,-0.09741248097412492,-0.17638888888888893,-0.1528571428571429,1.4708333333333332,0.6027027027027025
1998-07-01,5.3,-0.10623946037099496,-0.19330289193302896,-0.15873015873015872,0.9850187265917603,0.5588235294117647
1998-08-01,5.5,0.037735849056603765,-0.07251264755480602,-0.017857142857142794,0.8771331058020477,0.7741935483870968
1998-09-01,5.7,0.036363636363636376,0.07547169811320753,0.16326530612244894,0.78125,1.035714285714286
1998-10-01,5.9,0.03508771929824572,0.07272727272727275,0.27429805615550773,0.6526610644257704,0.903225806451613
1998-11-01,5.23,-0.11355932203389829,-0.08245614035087712,0.1967963386727689,0.3307888040712468,0.5382352941176471
1998-12-01,4.57,-0.12619502868068833,-0.22542372881355932,0.11463414634146352,0.0627906976744188,0.23513513513513518
1999-01-01,3.9,-0.1466083150984684,-0.2543021032504781,-0.23976608187134507,0.12391930835734866,-0.007633587786259555
1999-02-01,4.6,0.17948717948717952,0.006564551422319376,-0.2544570502431118,0.7490494296577945,0.10311750599520386
1999-03-01,5.3,0.15217391304347827,0.35897435897435903,-0.26388888888888895,1.9444444444444442,0.20454545454545436
1999-04-01,6.0,0.13207547169811318,0.30434782608695654,-0.08675799086757996,0.6997167138810199,0.6085790884718498
1999-05-01,5.53,-0.07833333333333325,0.04339622641509444,-0.06745362563237767,0.04933586337760931,0.8013029315960913
1999-06-01,5.07,-0.08318264014466548,-0.15499999999999992,-0.04339622641509422,-0.2757142857142857,1.1125000000000003
1999-07-01,4.6,-0.09270216962524669,-0.16817359855334546,-0.1636363636363637,-0.2698412698412699,0.7228464419475655
1999-08-01,5.07,0.10217391304347845,0.0,-0.1105263157894737,-0.09464285714285703,0.7303754266211604
1999-09-01,5.53,0.09072978303747536,0.20217391304347831,-0.06271186440677967,0.12857142857142856,0.7281249999999999
1999-10-01,6.0,0.08499095840867987,0.18343195266272172,0.14722753346080286,0.2958963282937366,0.680672268907563
1999-11-01,6.1,0.016666666666666607,0.10307414104882451,0.33479212253829305,0.3958810068649885,0.5521628498727733
1999-12-01,6.2,0.016393442622950838,0.03333333333333344,0.5897435897435899,0.5121951219512197,0.4418604651162792
2000-01-01,6.3,0.016129032258064502,0.032786885245901676,0.36956521739130443,0.22807017543859653,0.8155619596541785
2000-02-01,5.5,-0.12698412698412698,-0.11290322580645162,0.037735849056603765,-0.10858995137763372,1.091254752851711
2000-03-01,4.7,-0.1454545454545454,-0.25396825396825395,-0.21666666666666667,-0.3472222222222222,1.6111111111111112
2000-04-01,3.9,-0.17021276595744683,-0.2909090909090909,-0.2947558770343581,-0.406392694063927,0.10481586402266285
2000-05-01,3.93,0.007692307692307665,-0.1638297872340425,-0.2248520710059172,-0.33726812816188867,-0.2542694497153699
2000-06-01,3.97,0.010178117048346147,0.017948717948718107,-0.1369565217391303,-0.25094339622641504,-0.43285714285714283
2000-07-01,4.0,0.007556675062972307,0.01781170483460559,-0.21104536489151882,-0.2727272727272727,-0.3650793650793651
2000-08-01,3.83,-0.04249999999999998,-0.035264483627204024,-0.30741410488245935,-0.3280701754385965,-0.31607142857142856
2000-09-01,3.67,-0.04177545691906004,-0.08250000000000002,-0.3883333333333333,-0.3779661016949153,-0.25102040816326543
2000-10-01,3.5,-0.0463215258855586,-0.08616187989556134,-0.42622950819672123,-0.3307839388145316,-0.24406047516198703
2000-11-01,2.87,-0.17999999999999994,-0.21798365122615804,-0.5370967741935484,-0.3719912472647703,-0.34324942791762014
2000-12-01,2.23,-0.22299651567944256,-0.3628571428571429,-0.646031746031746,-0.42820512820512824,-0.4560975609756097
2001-01-01,1.6,-0.28251121076233177,-0.44250871080139376,-0.709090909090909,-0.6521739130434783,-0.6881091617933723
2001-02-01,1.37,-0.14374999999999993,-0.38565022421524653,-0.7085106382978723,-0.7415094339622641,-0.7779578606158832
2001-03-01,1.13,-0.17518248175182494,-0.29375000000000007,-0.7102564102564103,-0.8116666666666666,-0.8430555555555556
2001-04-01,0.9,-0.20353982300884943,-0.34306569343065696,-0.7709923664122138,-0.8372513562386981,-0.863013698630137
2001-05-01,1.07,0.18888888888888888,-0.05309734513274322,-0.7304785894206549,-0.7889546351084813,-0.8195615514333895
2001-06-01,1.23,0.14953271028037385,0.3666666666666667,-0.6925,-0.7326086956521739,-0.7679245283018867
