,STOCK_MKT_M,STOCK_MKT_M_PCT_CHG,STOCK_MKT_Q_PCT_CHG,STOCK_MKT_A_PCT_CHG,STOCK_MKT_2A_PCT_CHG,STOCK_MKT_3A_PCT_CHG
1984-05-01,-1.068082149,-0.6510856634041777,-0.6614791949679454,-1.223653101720502,0.9813516497092838,-0.6234288669543391
1984-06-01,0.9249943789999997,-1.866032991812505,-1.3021713268083555,-0.5479957967614735,-2.528598375410316,-1.176462142655327
1984-07-01,2.9180709069999997,-0.9164688827608122,-3.73206598362501,1.1927935276259491,-0.546639545487253,-1.6643485409935066
1984-08-01,3.014645124,0.033095226290880575,2.259095614461027,3.9012144800401813,-0.7763317367009797,-1.850904016888832
1984-09-01,3.111219341,0.032035020052993746,0.06619045258176115,0.09302246649961177,-0.8483800879590999,-2.155141208615159
1984-10-01,3.207793558,0.03104063276006741,0.06407004010598771,-3.715169547040958,-0.8045363103398436,-1.7805484255062947
1984-11-01,4.706235031666667,0.4671252830250452,0.5126657801484358,-3.080310327871919,-0.6174582213667703,-1.8516584198473505
1984-12-01,6.2046765053333335,0.31839495128997153,0.9342505660500904,-2.8559555537146792,-0.2427668056329798,-1.89375395510916
1985-01-01,7.703117979,0.24150194975977501,0.6367899025799433,-3.370824162908719,-0.13193733809447206,-2.6170021586123404
1985-02-01,6.590583307666667,-0.1444265392749131,0.062196119652913495,-3.0888370515610415,-0.3101726376866718,-3.549165421455529
1985-03-01,5.478048636333334,-0.16880670790385854,-0.28885307854982634,-2.7895343607937164,-0.46472075369840704,-4.89351658988169
1985-04-01,4.365513965,-0.20308959361083656,-0.3376134158077173,-5.087245507367804,-0.4183045788168036,-6.237867758307852
1985-05-01,3.5482598646666665,-0.18720684594885573,-0.35227667729477263,2.835979920767354,-0.257005348150362,-7.582218926734014
1985-06-01,2.731005764333333,-0.230325323258168,-0.37441369189771145,-0.06410575638101401,0.33452279556750875,-5.51312037064405
1985-07-01,1.913751664,-0.2992502289839851,-0.4606506465163359,-0.36518177586994804,0.4380946851688656,-0.7026736663134944
1985-08-01,2.648690842666667,0.3840305889691793,-0.030140881700687405,-0.14866470269006116,3.306245470777905,-0.803483310165143
1985-09-01,3.3836300213333335,0.2774726165952761,0.7680611779383584,0.05481539262238688,-0.5899155036729455,-0.8351046229840505
1985-10-01,4.1185692000000005,0.21720435568693208,0.5549452331905522,-0.12486963097092718,-4.486076478123796,-0.7490391082228496
1985-11-01,6.629941543333334,0.6097681552451113,0.959416810210467,0.06853943757332992,-3.930651736043664,-0.46109159165327696
1985-12-01,9.141313886666667,0.3787925318675873,1.2195363104902222,0.18670308718981476,-3.7343685463093554,0.1156272706823942
1986-01-01,11.65268623,0.27472772234594944,0.7575850637351746,0.7680811676327208,-4.586401006993808,0.3131386348670244
1986-02-01,10.825886295666667,-0.07095359113032029,0.1842812127321305,0.9762304087378173,-4.431185276737143,0.13313074722178375
1986-03-01,9.999086361333335,-0.07637249383122369,-0.14190718226064047,1.2904717386085225,-4.266438436027972,-0.022954382752332636
1986-04-01,9.172286427000001,-0.08268754808745182,-0.1527449876624476,1.585009772913482,0.708818114517741,0.22218759558284495
1986-05-01,6.182731494,-0.3259334471064703,-0.38167035761299695,1.2639027623983319,5.684074665063454,0.2946448707459228
1986-06-01,3.1931765610000005,-0.4835330364744447,-0.6518668942129406,0.6685428005459335,0.09427654870896562,0.5603654033174872
1986-07-01,0.203621628,-0.9362322677402366,-0.9670660729488894,-0.9231236712416778,-0.9324558547940053,-0.846987889536209
1986-08-01,0.40847093833333337,1.0060292334630256,-0.8720800649352715,-0.8792802594379472,-0.8687103371496644,-0.33590734720424975
1986-09-01,0.6133202486666668,0.5015027780658554,2.0120584669260517,-0.8510841462450924,-0.8088030798811565,-7.097078394652463
1986-10-01,0.8181695590000001,0.3340005662272969,1.0030055561317108,-0.8765947552248479,-0.8261519976170307,-1.6925224553096787
1986-11-01,5.162980206000001,0.5877660495551709,1.2296913926765038,-0.43520370594312285,-0.16788889774316595,-3.2822066838715473
1986-12-01,9.507790853000001,0.8415315328830448,1.456377229221297,-0.18406874901324788,0.23427823368665046,-3.8439898876299243
1987-01-01,13.852601500000002,0.4569737296681362,1.68306306576609,0.2795812852334183,1.101877914794826,-5.263479080143732
1987-02-01,10.533830863666669,-0.2395774278451115,0.10791571107634534,0.05347933631228563,0.9229166374684403,-4.338620449165417
1987-03-01,7.215060227333335,-0.3150582802483046,-0.479154855690223,-0.21338476673659879,0.6527401550376979,-3.356970346406298
1987-04-01,3.8962895910000004,-0.4599782305018876,-0.6301165604966092,-0.3698109654638675,0.0980846216476392,-4.647930634032158
1987-05-01,5.3129017450000005,0.36357979069939206,-0.26363722857464855,0.663829620287633,0.9454011464882188,4.743712465305697
1987-06-01,6.7295138990000005,0.2666362417361061,0.7271595813987841,-0.5725783335592491,2.516398718595706,1.3061516027101807
1987-07-01,8.146126053,0.2105073524271206,0.533272483472212,-1.8089862874061313,2.075529209289895,1.7021840773720203
1987-08-01,-1.2544817046666665,-1.1539973352369959,-1.1864149065585674,-3.0453942412530135,-1.3707502583785247,-1.4032122351950456
1987-09-01,-10.655089462333333,-0.1358663903673949,-2.3079946704739918,-3.964956864010074,-3.587085209672653,-4.321625681228871
1987-10-01,-20.05569722,0.8822645545022059,-1.0496653115973535,-4.884519486767134,-4.025018710785887,-5.261516283197074
1987-11-01,-12.878423553666664,-0.35786707326115763,0.20866404727928467,-2.3545127099217926,-2.4088153752657884,-3.075599516364278
1987-12-01,-5.701149887333331,-0.5573099561778169,-0.7157341465223152,-1.4115580663555023,-1.489256277462929,-1.7401093820548548
1988-01-01,1.4761237790000001,-1.2589168515424607,-1.1146199123556335,-0.8598682855169574,-0.8636486899376676,-0.7760253212666531
